2026-06-01 22:01:37,365 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-01 22:01:37,386 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-01 22:03:40,164 | PROCESSOR_MANAGER | INFO | All processes finished
2026-06-02 10:24:36,884 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 10:24:36,911 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 10:26:41,369 | PROCESSOR_MANAGER | INFO | All processes finished
2026-06-02 11:00:24,663 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 11:00:24,704 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 11:02:30,199 | PROCESSOR_MANAGER | INFO | All processes finished
2026-06-02 11:40:02,143 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 11:40:02,159 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 11:42:06,732 | PROCESSOR_MANAGER | INFO | All processes finished
2026-06-02 12:13:24,781 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 12:13:24,806 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 12:15:30,474 | PROCESSOR_MANAGER | INFO | All processes finished
2026-06-02 12:50:53,523 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 12:50:53,553 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 12:53:01,963 | PROCESSOR_MANAGER | INFO | All processes finished
2026-06-02 14:20:35,196 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-06-02 14:20:35,220 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
